"","x"
"Anaheim Ducks",0.689762592245265
"Arizona Coyotes",0.881713103822452
"Boston Bruins",1.40041365590469
"Buffalo Sabres",0.613764455575895
"Calgary Flames",1.41758527547292
"Carolina Hurricanes",1.2509436663556
"Chicago Blackhawks",0.753380743733106
"Colorado Avalanche",0.850791526380925
"Columbus Blue Jackets",1.2998747608973
"Dallas Stars",1.09261340434623
"Detroit Red Wings",0.563255261584991
"Edmonton Oilers",0.693600285601633
"Florida Panthers",0.76284349476683
"Los Angeles Kings",0.493220784798887
"Minnesota Wild",0.80644693608371
"Montreal Canadiens",1.15237879009303
"Nashville Predators",1.28877842356847
"New Jersey Devils",0.514679501591004
"New York Islanders",1.34999920499141
"New York Rangers",0.567293823386122
"Ottawa Senators",0.410709984835926
"Philadelphia Flyers",0.814346279147477
"Pittsburgh Penguins",1.15384291494928
"San Jose Sharks",1.21978124045916
"St. Louis Blues",1.18817475784233
"Tampa Bay Lightning",2.11968807284835
"Toronto Maple Leafs",1.25095530309202
"Vancouver Canucks",0.696243501405819
"Vegas Golden Knights",1.07241939399411
"Washington Capitals",1.35000380430924
"Winnipeg Jets",1.28049505598502
"hia",0.156226954215791
